,r,a,p,target,t5,Our,label
0,C/C(=C\c1ccccc1)c1ccc2c(c1)C(C)(C)C(=O)C2(C)C,CCO.[BH4-].[Na+],C/C(=C\c1ccccc1)c1ccc2c(c1)C(C)(C)C(O)C2(C)C,78.0999984741211,84.94352722167969,93.51522064208984,66
1,CC(C)(C)OC(=O)N1C[C@H]2CC(=O)C[C@H]2C1,CCO.[BH4-].[Na+],CC(C)(C)OC(=O)N1C[C@H]2CC(O)C[C@H]2C1,93.0,96.05529022216795,91.58651733398438,66
2,CCCCC(F)(F)C(C)(O)C=CC1CCC(=O)N1CC(=O)CCCCC(=O)O,CCO.[BH4-].[Na+],CCCCC(F)(F)C(C)(O)C=CC1CCC(=O)N1CC(O)CCCCC(=O)O,33.400001525878906,48.467716217041016,80.49301147460938,66
3,O=C1CC2C3CCC(C3)C2C1,CCO.[BH4-].[Na+],OC1CC2C3CCC(C3)C2C1,96.6999969482422,89.78446960449219,91.91087341308594,66
4,CC(=O)Cc1ccc(-c2ccc(Br)cc2)cc1,CCO.[BH4-].[Na+],CC(O)Cc1ccc(-c2ccc(Br)cc2)cc1,99.5,95.1381378173828,96.62867736816406,66
5,CCC(=O)C1CC=CCCCC1,CCO.[BH4-].[Na+],CCC(O)C1CC=CCCCC1,82.19999694824219,84.41111755371094,90.32169342041016,66
6,CC(=O)C(C)c1cc(C(F)(F)F)cc2ccoc12,CCO.[BH4-].[Na+],CC(O)C(C)c1cc(C(F)(F)F)cc2ccoc12,45.20000076293945,91.2930908203125,95.8774185180664,66
7,CC(C)(CSc1ccc(Cl)cc1)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,CO.O.[BH4-].[Na+],CC(C)(CSc1ccc(Cl)cc1)C(O)C(Oc1ccc(Cl)cc1)n1cncn1,54.59999847412109,92.00669860839844,70.3996353149414,66
8,CC(C)(C)OC(=O)NC1CCCCC(=O)C1,CO.O.[BH4-].[Na+],CC(C)(C)OC(=O)NC1CCCCC(O)C1,67.19999694824219,90.69623565673828,89.7990493774414,66
9,CC(C)(C)OC(=O)N1CCC(=O)C(F)CC1,CO.[BH4-].[Na+],CC(C)(C)OC(=O)N1CCC(O)C(F)CC1,97.0999984741211,85.32137298583984,85.05362701416016,66
10,CC(=O)NC[C@H]1CN(c2ccc(N3CCC(=O)CC3)cc2)C(=O)O1,CO.[BH4-].[Na+],CC(=O)NC[C@H]1CN(c2ccc(N3CCC(O)CC3)cc2)C(=O)O1,85.0,85.80037689208984,76.89338684082031,66
11,CC1(COc2cc(F)c(C(=O)OC(C)(C)C)cc2C2CC2)CCC(=O)CC1,CO.[BH4-].[Na+],CC1(COc2cc(F)c(C(=O)OC(C)(C)C)cc2C2CC2)CCC(O)CC1,98.8000030517578,88.07405853271484,91.35612487792969,66
12,CC#CCOc1ccc(C[C@H](NC(=O)[C@@H](/C=C/CCCCCCC(=O)CCCCCCC)[C@@](O)(CC(=O)O)C(=O)O)C(=O)OC)cc1,CO.[BH4-].[Na+],CC#CCOc1ccc(C[C@H](NC(=O)[C@@H](/C=C/CCCCCCC(O)CCCCCCC)[C@@](O)(CC(=O)O)C(=O)O)C(=O)OC)cc1,39.900001525878906,48.70144271850586,79.75928497314453,66
13,CC(C)(C)OC(=O)C1(S(=O)(=O)N2CCC(=O)CC2)CCOCC1,CO.[BH4-].[Na+],CC(C)(C)OC(=O)C1(S(=O)(=O)N2CCC(O)CC2)CCOCC1,99.0,81.11256408691406,85.29913330078125,66
14,O=C1Cc2ccccc2C1,CO.[BH4-].[Na+],OC1Cc2ccccc2C1,96.3000030517578,95.23006439208984,93.24592590332031,66
15,CCCc1c(Cc2ccc(-c3ccccc3C#N)cc2)c(=O)n(CC(=O)C(C)(C)C)c2nc(C)nn12,CO.[BH4-].[Na+],CCCc1c(Cc2ccc(-c3ccccc3C#N)cc2)c(=O)n(CC(O)C(C)(C)C)c2nc(C)nn12,84.69999694824219,80.84333801269531,75.13579559326172,66
16,CCCC(=O)Nc1c2c(nc3ccccc13)CCC(=O)C2,CO.[BH4-].[Na+],CCCC(=O)Nc1c2c(nc3ccccc13)CCC(O)C2,76.5,63.695125579833984,63.833309173583984,66
17,CCC(CC)(c1ccc(OC2CCCC(C)(C)C2=O)c(C)c1)c1ccc2oc(C(=O)O)cc2c1,[BH4-].[Na+],CCC(CC)(c1ccc(OC2CCCC(C)(C)C2O)c(C)c1)c1ccc2oc(C(=O)O)cc2c1,64.0,72.98884582519531,89.16197967529297,66
18,CCC(CC)(c1ccc(OCC(=O)C(C)(C)C)c(C)c1)c1cc2ccc(C(=O)NCC(=O)O)cc2s1,[BH4-].[Na+],CCC(CC)(c1ccc(OCC(O)C(C)(C)C)c(C)c1)c1cc2ccc(C(=O)NCC(=O)O)cc2s1,99.3000030517578,94.01761627197266,81.37222290039062,66
19,CC(C)(C)OC(=O)N1CCNCC1.N#Cc1cc(C(F)(F)F)ccc1Br,C1COCCO1.CC(C)(C)[O-].CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Na+].[Pd].[Pd],CC(C)(C)OC(=O)N1CCN(c2ccc(C(F)(F)F)cc2C#N)CC1,15.0,83.93988800048828,61.27157211303711,55
20,CC(C)(C)OC(=O)N1CC2CNCC2C1.N#Cc1ccccc1Br,C1COCCO1.CC(C)(C)[O-].CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Na+].[Pd].[Pd],CC(C)(C)OC(=O)N1CC2CN(c3ccccc3C#N)CC2C1,74.0,83.81693267822266,70.28499603271484,55
