cuda available with GPU: Tesla V100-PCIE-16GB
==========Load Seed==========
set_random_seed
0
==========Training Start==========
Training Graphs:  2491
Valid Graphs:  277
Test Graphs:  1187
============Loading pretrained weights to generate initialization============
============Creating new layers============
============Creating Model============
Training Graphs Batches:  78
Valid Graphs Batches:  9
Test Graphs Batches:  37
[0/299] timecost: 67.11, lr: 0.000030, Train: (LOSS: 0.2309, MAE: 0.2309, RMSE: 0.2732, R2: -0.0584), Valid: (LOSS: 0.2220, MAE: 0.2220, RMSE: 0.2571, R2: 0.0647), PNorm: 174.3928, GNorm: 1.3711
[1/299] timecost: 64.95, lr: 0.000030, Train: (LOSS: 0.2109, MAE: 0.2109, RMSE: 0.2533, R2: 0.0871), Valid: (LOSS: 0.2067, MAE: 0.2067, RMSE: 0.2393, R2: 0.1867), PNorm: 173.7532, GNorm: 2.0207
[2/299] timecost: 64.34, lr: 0.000030, Train: (LOSS: 0.1993, MAE: 0.1993, RMSE: 0.2419, R2: 0.1668), Valid: (LOSS: 0.1850, MAE: 0.1850, RMSE: 0.2221, R2: 0.3000), PNorm: 173.2767, GNorm: 2.4839
[3/299] timecost: 64.28, lr: 0.000030, Train: (LOSS: 0.1797, MAE: 0.1797, RMSE: 0.2221, R2: 0.2740), Valid: (LOSS: 0.1642, MAE: 0.1642, RMSE: 0.2056, R2: 0.3879), PNorm: 172.9096, GNorm: 1.7887
[4/299] timecost: 64.03, lr: 0.000030, Train: (LOSS: 0.1487, MAE: 0.1487, RMSE: 0.1945, R2: 0.4484), Valid: (LOSS: 0.1383, MAE: 0.1383, RMSE: 0.1841, R2: 0.5158), PNorm: 172.6017, GNorm: 1.3432
[5/299] timecost: 64.64, lr: 0.000030, Train: (LOSS: 0.1433, MAE: 0.1433, RMSE: 0.1900, R2: 0.4641), Valid: (LOSS: 0.1273, MAE: 0.1273, RMSE: 0.1660, R2: 0.6047), PNorm: 172.3091, GNorm: 1.5760
[6/299] timecost: 65.20, lr: 0.000030, Train: (LOSS: 0.1282, MAE: 0.1282, RMSE: 0.1756, R2: 0.5426), Valid: (LOSS: 0.1197, MAE: 0.1197, RMSE: 0.1634, R2: 0.6162), PNorm: 172.0265, GNorm: 3.4307
[7/299] timecost: 64.69, lr: 0.000030, Train: (LOSS: 0.1273, MAE: 0.1273, RMSE: 0.1758, R2: 0.5303), Valid: (LOSS: 0.1214, MAE: 0.1214, RMSE: 0.1631, R2: 0.6154), PNorm: 171.7540, GNorm: 3.0531
[8/299] timecost: 64.26, lr: 0.000030, Train: (LOSS: 0.1291, MAE: 0.1291, RMSE: 0.1763, R2: 0.5239), Valid: (LOSS: 0.1192, MAE: 0.1192, RMSE: 0.1643, R2: 0.6077), PNorm: 171.4900, GNorm: 1.6488
[9/299] timecost: 64.01, lr: 0.000030, Train: (LOSS: 0.1198, MAE: 0.1198, RMSE: 0.1659, R2: 0.5940), Valid: (LOSS: 0.1191, MAE: 0.1191, RMSE: 0.1613, R2: 0.6252), PNorm: 171.2295, GNorm: 1.4352
[10/299] timecost: 64.17, lr: 0.000030, Train: (LOSS: 0.1152, MAE: 0.1152, RMSE: 0.1632, R2: 0.6015), Valid: (LOSS: 0.1050, MAE: 0.1050, RMSE: 0.1494, R2: 0.6806), PNorm: 170.9728, GNorm: 1.4816
