cuda available with GPU: Tesla V100S-PCIE-32GB
==========Load Seed==========
set_random_seed
0
==========Training Start==========
Training Graphs:  2491
Valid Graphs:  277
Test Graphs:  1187
============Not pretrained weights used============
============Creating new layers============
============Creating Model============
Training Graphs Batches:  78
Valid Graphs Batches:  9
Test Graphs Batches:  37
[0/299] timecost: 57.64, lr: 0.000100, Train: (LOSS: 0.2103, MAE: 0.2103, RMSE: 0.2555, R2: 0.0487), Valid: (LOSS: 0.1921, MAE: 0.1921, RMSE: 0.2343, R2: 0.2056), PNorm: 187.0394, GNorm: 0.5000
[1/299] timecost: 56.65, lr: 0.000100, Train: (LOSS: 0.1760, MAE: 0.1760, RMSE: 0.2268, R2: 0.2617), Valid: (LOSS: 0.1707, MAE: 0.1707, RMSE: 0.2183, R2: 0.3109), PNorm: 187.0691, GNorm: 0.5000
[2/299] timecost: 56.84, lr: 0.000100, Train: (LOSS: 0.1590, MAE: 0.1590, RMSE: 0.2080, R2: 0.3815), Valid: (LOSS: 0.1370, MAE: 0.1370, RMSE: 0.1787, R2: 0.5422), PNorm: 187.1065, GNorm: 0.5000
[3/299] timecost: 56.64, lr: 0.000100, Train: (LOSS: 0.1456, MAE: 0.1456, RMSE: 0.1926, R2: 0.4495), Valid: (LOSS: 0.1329, MAE: 0.1329, RMSE: 0.1767, R2: 0.5524), PNorm: 187.1443, GNorm: 0.5000
[4/299] timecost: 56.62, lr: 0.000100, Train: (LOSS: 0.1426, MAE: 0.1426, RMSE: 0.1918, R2: 0.4543), Valid: (LOSS: 0.1449, MAE: 0.1449, RMSE: 0.1852, R2: 0.5011), PNorm: 187.1752, GNorm: 0.5000
[5/299] timecost: 56.53, lr: 0.000100, Train: (LOSS: 0.1326, MAE: 0.1326, RMSE: 0.1815, R2: 0.5148), Valid: (LOSS: 0.1249, MAE: 0.1249, RMSE: 0.1699, R2: 0.5895), PNorm: 187.2044, GNorm: 0.5000
[6/299] timecost: 56.54, lr: 0.000100, Train: (LOSS: 0.1334, MAE: 0.1334, RMSE: 0.1816, R2: 0.5118), Valid: (LOSS: 0.1302, MAE: 0.1302, RMSE: 0.1804, R2: 0.5244), PNorm: 187.2366, GNorm: 0.5000
[7/299] timecost: 56.68, lr: 0.000100, Train: (LOSS: 0.1262, MAE: 0.1262, RMSE: 0.1744, R2: 0.5486), Valid: (LOSS: 0.1596, MAE: 0.1596, RMSE: 0.2319, R2: 0.2384), PNorm: 187.2720, GNorm: 0.5000
[8/299] timecost: 56.71, lr: 0.000100, Train: (LOSS: 0.1312, MAE: 0.1312, RMSE: 0.1805, R2: 0.5118), Valid: (LOSS: 0.1225, MAE: 0.1225, RMSE: 0.1667, R2: 0.6011), PNorm: 187.3035, GNorm: 0.5000
[9/299] timecost: 56.60, lr: 0.000100, Train: (LOSS: 0.1168, MAE: 0.1168, RMSE: 0.1620, R2: 0.6050), Valid: (LOSS: 0.1181, MAE: 0.1181, RMSE: 0.1680, R2: 0.5652), PNorm: 187.3461, GNorm: 0.4146
[10/299] timecost: 57.04, lr: 0.000100, Train: (LOSS: 0.1106, MAE: 0.1106, RMSE: 0.1567, R2: 0.6322), Valid: (LOSS: 0.1016, MAE: 0.1016, RMSE: 0.1505, R2: 0.6714), PNorm: 187.3781, GNorm: 0.3905
[11/299] timecost: 56.81, lr: 0.000100, Train: (LOSS: 0.1072, MAE: 0.1072, RMSE: 0.1518, R2: 0.6504), Valid: (LOSS: 0.1013, MAE: 0.1013, RMSE: 0.1472, R2: 0.6689), PNorm: 187.4063, GNorm: 0.5000
[12/299] timecost: 57.09, lr: 0.000100, Train: (LOSS: 0.1000, MAE: 0.1000, RMSE: 0.1441, R2: 0.6827), Valid: (LOSS: 0.0997, MAE: 0.0997, RMSE: 0.1480, R2: 0.6743), PNorm: 187.4383, GNorm: 0.5000
[13/299] timecost: 56.91, lr: 0.000100, Train: (LOSS: 0.0941, MAE: 0.0941, RMSE: 0.1375, R2: 0.7181), Valid: (LOSS: 0.0898, MAE: 0.0898, RMSE: 0.1333, R2: 0.7257), PNorm: 187.4709, GNorm: 0.5000
[14/299] timecost: 56.62, lr: 0.000100, Train: (LOSS: 0.0913, MAE: 0.0913, RMSE: 0.1341, R2: 0.7173), Valid: (LOSS: 0.0902, MAE: 0.0902, RMSE: 0.1346, R2: 0.7286), PNorm: 187.4999, GNorm: 0.5000
[15/299] timecost: 56.13, lr: 0.000100, Train: (LOSS: 0.0881, MAE: 0.0881, RMSE: 0.1302, R2: 0.7400), Valid: (LOSS: 0.0909, MAE: 0.0909, RMSE: 0.1278, R2: 0.7575), PNorm: 187.5311, GNorm: 0.5000
[16/299] timecost: 56.49, lr: 0.000100, Train: (LOSS: 0.0819, MAE: 0.0819, RMSE: 0.1217, R2: 0.7729), Valid: (LOSS: 0.0935, MAE: 0.0935, RMSE: 0.1309, R2: 0.7486), PNorm: 187.5589, GNorm: 0.5000
[17/299] timecost: 56.63, lr: 0.000100, Train: (LOSS: 0.0810, MAE: 0.0810, RMSE: 0.1212, R2: 0.7786), Valid: (LOSS: 0.0799, MAE: 0.0799, RMSE: 0.1201, R2: 0.7797), PNorm: 187.5886, GNorm: 0.5000
[18/299] timecost: 56.63, lr: 0.000100, Train: (LOSS: 0.0766, MAE: 0.0766, RMSE: 0.1164, R2: 0.7895), Valid: (LOSS: 0.0803, MAE: 0.0803, RMSE: 0.1207, R2: 0.7814), PNorm: 187.6123, GNorm: 0.5000
[19/299] timecost: 56.77, lr: 0.000100, Train: (LOSS: 0.0758, MAE: 0.0758, RMSE: 0.1157, R2: 0.7971), Valid: (LOSS: 0.0874, MAE: 0.0874, RMSE: 0.1312, R2: 0.7302), PNorm: 187.6342, GNorm: 0.5000
[20/299] timecost: 56.96, lr: 0.000100, Train: (LOSS: 0.0726, MAE: 0.0726, RMSE: 0.1116, R2: 0.8081), Valid: (LOSS: 0.0759, MAE: 0.0759, RMSE: 0.1139, R2: 0.8025), PNorm: 187.6563, GNorm: 0.5000
[21/299] timecost: 56.82, lr: 0.000100, Train: (LOSS: 0.0670, MAE: 0.0670, RMSE: 0.1030, R2: 0.8370), Valid: (LOSS: 0.0722, MAE: 0.0722, RMSE: 0.1107, R2: 0.8124), PNorm: 187.6751, GNorm: 0.5000
[22/299] timecost: 56.27, lr: 0.000100, Train: (LOSS: 0.0683, MAE: 0.0683, RMSE: 0.1067, R2: 0.8190), Valid: (LOSS: 0.0735, MAE: 0.0735, RMSE: 0.1108, R2: 0.8167), PNorm: 187.7003, GNorm: 0.4634
[23/299] timecost: 56.20, lr: 0.000100, Train: (LOSS: 0.0616, MAE: 0.0616, RMSE: 0.0953, R2: 0.8521), Valid: (LOSS: 0.0627, MAE: 0.0627, RMSE: 0.0938, R2: 0.8662), PNorm: 187.7268, GNorm: 0.5000
[24/299] timecost: 56.13, lr: 0.000100, Train: (LOSS: 0.0571, MAE: 0.0571, RMSE: 0.0905, R2: 0.8719), Valid: (LOSS: 0.0639, MAE: 0.0639, RMSE: 0.0923, R2: 0.8731), PNorm: 187.7440, GNorm: 0.5000
[25/299] timecost: 56.11, lr: 0.000100, Train: (LOSS: 0.0580, MAE: 0.0580, RMSE: 0.0900, R2: 0.8635), Valid: (LOSS: 0.0642, MAE: 0.0642, RMSE: 0.0992, R2: 0.8489), PNorm: 187.7664, GNorm: 0.5000
[26/299] timecost: 56.24, lr: 0.000100, Train: (LOSS: 0.0548, MAE: 0.0548, RMSE: 0.0863, R2: 0.8839), Valid: (LOSS: 0.0667, MAE: 0.0667, RMSE: 0.1081, R2: 0.8091), PNorm: 187.7919, GNorm: 0.4344
[27/299] timecost: 56.99, lr: 0.000100, Train: (LOSS: 0.0538, MAE: 0.0538, RMSE: 0.0834, R2: 0.8894), Valid: (LOSS: 0.0614, MAE: 0.0614, RMSE: 0.0888, R2: 0.8833), PNorm: 187.8113, GNorm: 0.5000
[28/299] timecost: 56.14, lr: 0.000100, Train: (LOSS: 0.0525, MAE: 0.0525, RMSE: 0.0821, R2: 0.8932), Valid: (LOSS: 0.0600, MAE: 0.0600, RMSE: 0.0879, R2: 0.8867), PNorm: 187.8316, GNorm: 0.5000
[29/299] timecost: 56.26, lr: 0.000100, Train: (LOSS: 0.0477, MAE: 0.0477, RMSE: 0.0768, R2: 0.9021), Valid: (LOSS: 0.0563, MAE: 0.0563, RMSE: 0.0856, R2: 0.8891), PNorm: 187.8544, GNorm: 0.4077
[30/299] timecost: 56.35, lr: 0.000100, Train: (LOSS: 0.0483, MAE: 0.0483, RMSE: 0.0768, R2: 0.9051), Valid: (LOSS: 0.0537, MAE: 0.0537, RMSE: 0.0801, R2: 0.9023), PNorm: 187.8742, GNorm: 0.5000
[31/299] timecost: 55.99, lr: 0.000100, Train: (LOSS: 0.0462, MAE: 0.0462, RMSE: 0.0722, R2: 0.9137), Valid: (LOSS: 0.0709, MAE: 0.0709, RMSE: 0.1089, R2: 0.8157), PNorm: 187.8941, GNorm: 0.5000
[32/299] timecost: 57.08, lr: 0.000100, Train: (LOSS: 0.0468, MAE: 0.0468, RMSE: 0.0731, R2: 0.9152), Valid: (LOSS: 0.0529, MAE: 0.0529, RMSE: 0.0783, R2: 0.9078), PNorm: 187.9140, GNorm: 0.5000
[33/299] timecost: 57.06, lr: 0.000100, Train: (LOSS: 0.0451, MAE: 0.0451, RMSE: 0.0700, R2: 0.9206), Valid: (LOSS: 0.0513, MAE: 0.0513, RMSE: 0.0799, R2: 0.9028), PNorm: 187.9334, GNorm: 0.4963
[34/299] timecost: 56.99, lr: 0.000100, Train: (LOSS: 0.0421, MAE: 0.0421, RMSE: 0.0665, R2: 0.9269), Valid: (LOSS: 0.0487, MAE: 0.0487, RMSE: 0.0728, R2: 0.9184), PNorm: 187.9476, GNorm: 0.4964
[35/299] timecost: 57.28, lr: 0.000100, Train: (LOSS: 0.0416, MAE: 0.0416, RMSE: 0.0645, R2: 0.9323), Valid: (LOSS: 0.0493, MAE: 0.0493, RMSE: 0.0754, R2: 0.9148), PNorm: 187.9660, GNorm: 0.5000
[36/299] timecost: 57.34, lr: 0.000100, Train: (LOSS: 0.0416, MAE: 0.0416, RMSE: 0.0673, R2: 0.9256), Valid: (LOSS: 0.0464, MAE: 0.0464, RMSE: 0.0727, R2: 0.9202), PNorm: 187.9871, GNorm: 0.5000
[37/299] timecost: 57.52, lr: 0.000100, Train: (LOSS: 0.0391, MAE: 0.0391, RMSE: 0.0626, R2: 0.9342), Valid: (LOSS: 0.0444, MAE: 0.0444, RMSE: 0.0679, R2: 0.9291), PNorm: 188.0015, GNorm: 0.5000
[38/299] timecost: 57.06, lr: 0.000100, Train: (LOSS: 0.0386, MAE: 0.0386, RMSE: 0.0610, R2: 0.9363), Valid: (LOSS: 0.0433, MAE: 0.0433, RMSE: 0.0687, R2: 0.9278), PNorm: 188.0215, GNorm: 0.5000
[39/299] timecost: 57.03, lr: 0.000100, Train: (LOSS: 0.0378, MAE: 0.0378, RMSE: 0.0596, R2: 0.9390), Valid: (LOSS: 0.0437, MAE: 0.0437, RMSE: 0.0680, R2: 0.9301), PNorm: 188.0352, GNorm: 0.4324
[40/299] timecost: 56.74, lr: 0.000100, Train: (LOSS: 0.0355, MAE: 0.0355, RMSE: 0.0566, R2: 0.9484), Valid: (LOSS: 0.0419, MAE: 0.0419, RMSE: 0.0644, R2: 0.9376), PNorm: 188.0488, GNorm: 0.5000
[41/299] timecost: 56.72, lr: 0.000100, Train: (LOSS: 0.0357, MAE: 0.0357, RMSE: 0.0563, R2: 0.9484), Valid: (LOSS: 0.0434, MAE: 0.0434, RMSE: 0.0678, R2: 0.9306), PNorm: 188.0672, GNorm: 0.4798
[42/299] timecost: 56.78, lr: 0.000100, Train: (LOSS: 0.0351, MAE: 0.0351, RMSE: 0.0560, R2: 0.9493), Valid: (LOSS: 0.0449, MAE: 0.0449, RMSE: 0.0683, R2: 0.9294), PNorm: 188.0837, GNorm: 0.5000
[43/299] timecost: 56.12, lr: 0.000100, Train: (LOSS: 0.0344, MAE: 0.0344, RMSE: 0.0541, R2: 0.9492), Valid: (LOSS: 0.0438, MAE: 0.0438, RMSE: 0.0696, R2: 0.9269), PNorm: 188.1012, GNorm: 0.5000
[44/299] timecost: 55.91, lr: 0.000100, Train: (LOSS: 0.0343, MAE: 0.0343, RMSE: 0.0542, R2: 0.9533), Valid: (LOSS: 0.0406, MAE: 0.0406, RMSE: 0.0657, R2: 0.9327), PNorm: 188.1169, GNorm: 0.5000
[45/299] timecost: 56.43, lr: 0.000100, Train: (LOSS: 0.0335, MAE: 0.0335, RMSE: 0.0524, R2: 0.9544), Valid: (LOSS: 0.0435, MAE: 0.0435, RMSE: 0.0675, R2: 0.9295), PNorm: 188.1315, GNorm: 0.5000
[46/299] timecost: 56.25, lr: 0.000100, Train: (LOSS: 0.0340, MAE: 0.0340, RMSE: 0.0535, R2: 0.9514), Valid: (LOSS: 0.0413, MAE: 0.0413, RMSE: 0.0664, R2: 0.9316), PNorm: 188.1471, GNorm: 0.5000
[47/299] timecost: 57.11, lr: 0.000100, Train: (LOSS: 0.0349, MAE: 0.0349, RMSE: 0.0546, R2: 0.9524), Valid: (LOSS: 0.0427, MAE: 0.0427, RMSE: 0.0669, R2: 0.9333), PNorm: 188.1672, GNorm: 0.5000
