cuda available with GPU: Tesla V100-PCIE-16GB
==========Load Seed==========
set_random_seed
0
==========Training Start==========
Training Graphs:  2491
Valid Graphs:  277
Test Graphs:  1187
============Not pretrained weights used============
============Creating new layers============
============Creating Model============
Training Graphs Batches:  78
Valid Graphs Batches:  9
Test Graphs Batches:  37
[0/299] timecost: 64.87, lr: 0.000100, Train: (LOSS: 0.3269, MAE: 0.3269, RMSE: 0.4179, R2: -1.4813), Valid: (LOSS: 0.3114, MAE: 0.3114, RMSE: 0.4032, R2: -1.5016), PNorm: 187.0195, GNorm: 0.0000
[1/299] timecost: 59.82, lr: 0.000100, Train: (LOSS: 0.2629, MAE: 0.2629, RMSE: 0.3225, R2: -0.5549), Valid: (LOSS: 0.1776, MAE: 0.1776, RMSE: 0.2242, R2: 0.2169), PNorm: 187.0639, GNorm: 0.5000
[2/299] timecost: 59.22, lr: 0.000100, Train: (LOSS: 0.1710, MAE: 0.1710, RMSE: 0.2198, R2: 0.3136), Valid: (LOSS: 0.1401, MAE: 0.1401, RMSE: 0.1864, R2: 0.4542), PNorm: 187.1238, GNorm: 0.5000
[3/299] timecost: 59.24, lr: 0.000100, Train: (LOSS: 0.1426, MAE: 0.1426, RMSE: 0.1918, R2: 0.4642), Valid: (LOSS: 0.1387, MAE: 0.1387, RMSE: 0.1917, R2: 0.4200), PNorm: 187.1760, GNorm: 0.5000
[4/299] timecost: 60.42, lr: 0.000100, Train: (LOSS: 0.1395, MAE: 0.1395, RMSE: 0.1882, R2: 0.4884), Valid: (LOSS: 0.1306, MAE: 0.1306, RMSE: 0.1807, R2: 0.4859), PNorm: 187.2071, GNorm: 0.5000
[5/299] timecost: 60.75, lr: 0.000100, Train: (LOSS: 0.1350, MAE: 0.1350, RMSE: 0.1841, R2: 0.5115), Valid: (LOSS: 0.1278, MAE: 0.1278, RMSE: 0.1853, R2: 0.4477), PNorm: 187.2320, GNorm: 0.2666
[6/299] timecost: 59.33, lr: 0.000100, Train: (LOSS: 0.1299, MAE: 0.1299, RMSE: 0.1787, R2: 0.5284), Valid: (LOSS: 0.1197, MAE: 0.1197, RMSE: 0.1678, R2: 0.5550), PNorm: 187.2616, GNorm: 0.4012
[7/299] timecost: 59.46, lr: 0.000100, Train: (LOSS: 0.1283, MAE: 0.1283, RMSE: 0.1779, R2: 0.5413), Valid: (LOSS: 0.1212, MAE: 0.1212, RMSE: 0.1733, R2: 0.5141), PNorm: 187.2863, GNorm: 0.5000
[8/299] timecost: 58.66, lr: 0.000100, Train: (LOSS: 0.1252, MAE: 0.1252, RMSE: 0.1758, R2: 0.5439), Valid: (LOSS: 0.1163, MAE: 0.1163, RMSE: 0.1650, R2: 0.5662), PNorm: 187.3042, GNorm: 0.3883
[9/299] timecost: 59.15, lr: 0.000100, Train: (LOSS: 0.1280, MAE: 0.1280, RMSE: 0.1770, R2: 0.5454), Valid: (LOSS: 0.1286, MAE: 0.1286, RMSE: 0.1810, R2: 0.4804), PNorm: 187.3241, GNorm: 0.2875
[10/299] timecost: 59.22, lr: 0.000100, Train: (LOSS: 0.1260, MAE: 0.1260, RMSE: 0.1760, R2: 0.5489), Valid: (LOSS: 0.1181, MAE: 0.1181, RMSE: 0.1706, R2: 0.5396), PNorm: 187.3470, GNorm: 0.5000
[11/299] timecost: 59.20, lr: 0.000100, Train: (LOSS: 0.1244, MAE: 0.1244, RMSE: 0.1744, R2: 0.5449), Valid: (LOSS: 0.1131, MAE: 0.1131, RMSE: 0.1628, R2: 0.5744), PNorm: 187.3774, GNorm: 0.2987
[12/299] timecost: 59.53, lr: 0.000100, Train: (LOSS: 0.1204, MAE: 0.1204, RMSE: 0.1710, R2: 0.5667), Valid: (LOSS: 0.1179, MAE: 0.1179, RMSE: 0.1697, R2: 0.5421), PNorm: 187.3960, GNorm: 0.5000
[13/299] timecost: 59.22, lr: 0.000100, Train: (LOSS: 0.1202, MAE: 0.1202, RMSE: 0.1687, R2: 0.5737), Valid: (LOSS: 0.1097, MAE: 0.1097, RMSE: 0.1568, R2: 0.6044), PNorm: 187.4144, GNorm: 0.3693
[14/299] timecost: 59.08, lr: 0.000100, Train: (LOSS: 0.1170, MAE: 0.1170, RMSE: 0.1657, R2: 0.5910), Valid: (LOSS: 0.1170, MAE: 0.1170, RMSE: 0.1652, R2: 0.5525), PNorm: 187.4342, GNorm: 0.5000
[15/299] timecost: 59.05, lr: 0.000100, Train: (LOSS: 0.1173, MAE: 0.1173, RMSE: 0.1660, R2: 0.5941), Valid: (LOSS: 0.1140, MAE: 0.1140, RMSE: 0.1607, R2: 0.5795), PNorm: 187.4493, GNorm: 0.4593
[16/299] timecost: 59.33, lr: 0.000100, Train: (LOSS: 0.1186, MAE: 0.1186, RMSE: 0.1685, R2: 0.5726), Valid: (LOSS: 0.1135, MAE: 0.1135, RMSE: 0.1632, R2: 0.5715), PNorm: 187.4704, GNorm: 0.3197
[17/299] timecost: 59.39, lr: 0.000100, Train: (LOSS: 0.1168, MAE: 0.1168, RMSE: 0.1672, R2: 0.5876), Valid: (LOSS: 0.1120, MAE: 0.1120, RMSE: 0.1634, R2: 0.5764), PNorm: 187.4884, GNorm: 0.3179
[18/299] timecost: 59.08, lr: 0.000100, Train: (LOSS: 0.1129, MAE: 0.1129, RMSE: 0.1620, R2: 0.6077), Valid: (LOSS: 0.1070, MAE: 0.1070, RMSE: 0.1497, R2: 0.6505), PNorm: 187.5136, GNorm: 0.5000
[19/299] timecost: 58.96, lr: 0.000100, Train: (LOSS: 0.0975, MAE: 0.0975, RMSE: 0.1417, R2: 0.6951), Valid: (LOSS: 0.0898, MAE: 0.0898, RMSE: 0.1268, R2: 0.7443), PNorm: 187.5497, GNorm: 0.5000
[20/299] timecost: 58.89, lr: 0.000100, Train: (LOSS: 0.0928, MAE: 0.0928, RMSE: 0.1367, R2: 0.7199), Valid: (LOSS: 0.0918, MAE: 0.0918, RMSE: 0.1313, R2: 0.7208), PNorm: 187.5754, GNorm: 0.3202
[21/299] timecost: 61.00, lr: 0.000100, Train: (LOSS: 0.0899, MAE: 0.0899, RMSE: 0.1324, R2: 0.7331), Valid: (LOSS: 0.0873, MAE: 0.0873, RMSE: 0.1251, R2: 0.7465), PNorm: 187.5952, GNorm: 0.3338
[22/299] timecost: 62.88, lr: 0.000100, Train: (LOSS: 0.0839, MAE: 0.0839, RMSE: 0.1273, R2: 0.7565), Valid: (LOSS: 0.0830, MAE: 0.0830, RMSE: 0.1224, R2: 0.7603), PNorm: 187.6182, GNorm: 0.5000
[23/299] timecost: 62.11, lr: 0.000100, Train: (LOSS: 0.0827, MAE: 0.0827, RMSE: 0.1251, R2: 0.7631), Valid: (LOSS: 0.0789, MAE: 0.0789, RMSE: 0.1150, R2: 0.7831), PNorm: 187.6367, GNorm: 0.3788
[24/299] timecost: 58.86, lr: 0.000100, Train: (LOSS: 0.0811, MAE: 0.0811, RMSE: 0.1240, R2: 0.7614), Valid: (LOSS: 0.0825, MAE: 0.0825, RMSE: 0.1180, R2: 0.7645), PNorm: 187.6590, GNorm: 0.3763
[25/299] timecost: 58.87, lr: 0.000100, Train: (LOSS: 0.0908, MAE: 0.0908, RMSE: 0.1366, R2: 0.7083), Valid: (LOSS: 0.0874, MAE: 0.0874, RMSE: 0.1265, R2: 0.7394), PNorm: 187.6837, GNorm: 0.5000
[26/299] timecost: 58.71, lr: 0.000100, Train: (LOSS: 0.0802, MAE: 0.0802, RMSE: 0.1191, R2: 0.7835), Valid: (LOSS: 0.0823, MAE: 0.0823, RMSE: 0.1199, R2: 0.7674), PNorm: 187.7085, GNorm: 0.5000
[27/299] timecost: 59.54, lr: 0.000100, Train: (LOSS: 0.0739, MAE: 0.0739, RMSE: 0.1114, R2: 0.8124), Valid: (LOSS: 0.0765, MAE: 0.0765, RMSE: 0.1085, R2: 0.8080), PNorm: 187.7337, GNorm: 0.5000
[28/299] timecost: 61.27, lr: 0.000100, Train: (LOSS: 0.0668, MAE: 0.0668, RMSE: 0.0998, R2: 0.8450), Valid: (LOSS: 0.0688, MAE: 0.0688, RMSE: 0.0964, R2: 0.8479), PNorm: 187.7591, GNorm: 0.5000
[29/299] timecost: 60.94, lr: 0.000100, Train: (LOSS: 0.0651, MAE: 0.0651, RMSE: 0.0973, R2: 0.8562), Valid: (LOSS: 0.0656, MAE: 0.0656, RMSE: 0.0979, R2: 0.8352), PNorm: 187.7812, GNorm: 0.4561
[30/299] timecost: 61.06, lr: 0.000100, Train: (LOSS: 0.0618, MAE: 0.0618, RMSE: 0.0930, R2: 0.8670), Valid: (LOSS: 0.0621, MAE: 0.0621, RMSE: 0.0973, R2: 0.8438), PNorm: 187.8055, GNorm: 0.5000
[31/299] timecost: 60.78, lr: 0.000100, Train: (LOSS: 0.0572, MAE: 0.0572, RMSE: 0.0861, R2: 0.8853), Valid: (LOSS: 0.0575, MAE: 0.0575, RMSE: 0.0850, R2: 0.8765), PNorm: 187.8303, GNorm: 0.5000
[32/299] timecost: 60.93, lr: 0.000100, Train: (LOSS: 0.0549, MAE: 0.0549, RMSE: 0.0850, R2: 0.8898), Valid: (LOSS: 0.0579, MAE: 0.0579, RMSE: 0.0855, R2: 0.8728), PNorm: 187.8493, GNorm: 0.5000
[33/299] timecost: 60.68, lr: 0.000100, Train: (LOSS: 0.0521, MAE: 0.0521, RMSE: 0.0804, R2: 0.8980), Valid: (LOSS: 0.0560, MAE: 0.0560, RMSE: 0.0851, R2: 0.8737), PNorm: 187.8712, GNorm: 0.5000
[34/299] timecost: 60.70, lr: 0.000100, Train: (LOSS: 0.0515, MAE: 0.0515, RMSE: 0.0777, R2: 0.9053), Valid: (LOSS: 0.0529, MAE: 0.0529, RMSE: 0.0818, R2: 0.8843), PNorm: 187.8887, GNorm: 0.5000
[35/299] timecost: 60.61, lr: 0.000100, Train: (LOSS: 0.0494, MAE: 0.0494, RMSE: 0.0761, R2: 0.9084), Valid: (LOSS: 0.0512, MAE: 0.0512, RMSE: 0.0796, R2: 0.8905), PNorm: 187.9054, GNorm: 0.5000
[36/299] timecost: 60.49, lr: 0.000100, Train: (LOSS: 0.0483, MAE: 0.0483, RMSE: 0.0726, R2: 0.9159), Valid: (LOSS: 0.0576, MAE: 0.0576, RMSE: 0.0875, R2: 0.8682), PNorm: 187.9242, GNorm: 0.4807
[37/299] timecost: 60.19, lr: 0.000100, Train: (LOSS: 0.0471, MAE: 0.0471, RMSE: 0.0724, R2: 0.9143), Valid: (LOSS: 0.0541, MAE: 0.0541, RMSE: 0.0885, R2: 0.8624), PNorm: 187.9405, GNorm: 0.5000
[38/299] timecost: 60.41, lr: 0.000100, Train: (LOSS: 0.0463, MAE: 0.0463, RMSE: 0.0718, R2: 0.9224), Valid: (LOSS: 0.0529, MAE: 0.0529, RMSE: 0.0818, R2: 0.8763), PNorm: 187.9595, GNorm: 0.5000
[39/299] timecost: 61.00, lr: 0.000100, Train: (LOSS: 0.0439, MAE: 0.0439, RMSE: 0.0673, R2: 0.9277), Valid: (LOSS: 0.0510, MAE: 0.0510, RMSE: 0.0766, R2: 0.8977), PNorm: 187.9781, GNorm: 0.3633
