cuda available with GPU: Tesla V100-PCIE-16GB
==========Load Seed==========
set_random_seed
0
==========Training Start==========
Training Graphs:  2491
Valid Graphs:  277
Test Graphs:  1187
============Not pretrained weights used============
============Creating new layers============
============Creating Model============
Training Graphs Batches:  78
Valid Graphs Batches:  9
Test Graphs Batches:  37
[0/299] timecost: 61.96, lr: 0.000100, Train: (LOSS: 0.2103, MAE: 0.2103, RMSE: 0.2594, R2: 0.0487), Valid: (LOSS: 0.1752, MAE: 0.1752, RMSE: 0.2354, R2: 0.2147), PNorm: 187.0349, GNorm: 0.5000
[1/299] timecost: 60.00, lr: 0.000100, Train: (LOSS: 0.1777, MAE: 0.1777, RMSE: 0.2262, R2: 0.2815), Valid: (LOSS: 0.1581, MAE: 0.1581, RMSE: 0.2136, R2: 0.3494), PNorm: 187.0582, GNorm: 0.5000
[2/299] timecost: 60.05, lr: 0.000100, Train: (LOSS: 0.1696, MAE: 0.1696, RMSE: 0.2188, R2: 0.3181), Valid: (LOSS: 0.1643, MAE: 0.1643, RMSE: 0.2188, R2: 0.3160), PNorm: 187.0829, GNorm: 0.5000
[3/299] timecost: 59.76, lr: 0.000100, Train: (LOSS: 0.1596, MAE: 0.1596, RMSE: 0.2073, R2: 0.4022), Valid: (LOSS: 0.1327, MAE: 0.1327, RMSE: 0.1838, R2: 0.5123), PNorm: 187.1146, GNorm: 0.5000
[4/299] timecost: 59.57, lr: 0.000100, Train: (LOSS: 0.1393, MAE: 0.1393, RMSE: 0.1907, R2: 0.4912), Valid: (LOSS: 0.1342, MAE: 0.1342, RMSE: 0.1834, R2: 0.4852), PNorm: 187.1361, GNorm: 0.5000
[5/299] timecost: 59.84, lr: 0.000100, Train: (LOSS: 0.1368, MAE: 0.1368, RMSE: 0.1866, R2: 0.5003), Valid: (LOSS: 0.1339, MAE: 0.1339, RMSE: 0.1788, R2: 0.5345), PNorm: 187.1660, GNorm: 0.4481
[6/299] timecost: 59.62, lr: 0.000100, Train: (LOSS: 0.1322, MAE: 0.1322, RMSE: 0.1806, R2: 0.5299), Valid: (LOSS: 0.1655, MAE: 0.1655, RMSE: 0.2265, R2: 0.2467), PNorm: 187.1958, GNorm: 0.5000
[7/299] timecost: 59.54, lr: 0.000100, Train: (LOSS: 0.1314, MAE: 0.1314, RMSE: 0.1816, R2: 0.5234), Valid: (LOSS: 0.1277, MAE: 0.1277, RMSE: 0.1781, R2: 0.5238), PNorm: 187.2170, GNorm: 0.5000
[8/299] timecost: 59.21, lr: 0.000100, Train: (LOSS: 0.1210, MAE: 0.1210, RMSE: 0.1691, R2: 0.5939), Valid: (LOSS: 0.1093, MAE: 0.1093, RMSE: 0.1500, R2: 0.6468), PNorm: 187.2304, GNorm: 0.5000
[9/299] timecost: 59.85, lr: 0.000100, Train: (LOSS: 0.1212, MAE: 0.1212, RMSE: 0.1700, R2: 0.5817), Valid: (LOSS: 0.1096, MAE: 0.1096, RMSE: 0.1539, R2: 0.6416), PNorm: 187.2560, GNorm: 0.5000
[10/299] timecost: 60.25, lr: 0.000100, Train: (LOSS: 0.1214, MAE: 0.1214, RMSE: 0.1687, R2: 0.5754), Valid: (LOSS: 0.1046, MAE: 0.1046, RMSE: 0.1473, R2: 0.6622), PNorm: 187.2818, GNorm: 0.4466
[11/299] timecost: 60.12, lr: 0.000100, Train: (LOSS: 0.1153, MAE: 0.1153, RMSE: 0.1622, R2: 0.6160), Valid: (LOSS: 0.1134, MAE: 0.1134, RMSE: 0.1587, R2: 0.5920), PNorm: 187.3128, GNorm: 0.5000
