cuda available with GPU: Tesla V100-PCIE-16GB
==========Load Seed==========
set_random_seed
0
==========Training Start==========
Training Graphs:  2491
Valid Graphs:  277
Test Graphs:  1187
============Not pretrained weights used============
============Creating new layers============
============Creating Model============
Training Graphs Batches:  78
Valid Graphs Batches:  9
Test Graphs Batches:  37
[0/299] timecost: 61.94, lr: 0.000100, Train: (LOSS: 0.2251, MAE: 0.2251, RMSE: 0.2737, R2: -0.1099), Valid: (LOSS: 0.1888, MAE: 0.1888, RMSE: 0.2409, R2: 0.1943), PNorm: 187.0383, GNorm: 0.5000
[1/299] timecost: 59.99, lr: 0.000100, Train: (LOSS: 0.1736, MAE: 0.1736, RMSE: 0.2251, R2: 0.2669), Valid: (LOSS: 0.1678, MAE: 0.1678, RMSE: 0.2136, R2: 0.3718), PNorm: 187.0532, GNorm: 0.2844
[2/299] timecost: 60.27, lr: 0.000100, Train: (LOSS: 0.1671, MAE: 0.1671, RMSE: 0.2175, R2: 0.3141), Valid: (LOSS: 0.2233, MAE: 0.2233, RMSE: 0.2969, R2: -0.2112), PNorm: 187.0937, GNorm: 0.5000
[3/299] timecost: 60.61, lr: 0.000100, Train: (LOSS: 0.1530, MAE: 0.1530, RMSE: 0.2046, R2: 0.3767), Valid: (LOSS: 0.1497, MAE: 0.1497, RMSE: 0.1903, R2: 0.4993), PNorm: 187.1356, GNorm: 0.5000
[4/299] timecost: 60.78, lr: 0.000100, Train: (LOSS: 0.1410, MAE: 0.1410, RMSE: 0.1881, R2: 0.4775), Valid: (LOSS: 0.1401, MAE: 0.1401, RMSE: 0.1919, R2: 0.4666), PNorm: 187.1632, GNorm: 0.5000
[5/299] timecost: 59.45, lr: 0.000100, Train: (LOSS: 0.1339, MAE: 0.1339, RMSE: 0.1807, R2: 0.5156), Valid: (LOSS: 0.1557, MAE: 0.1557, RMSE: 0.2048, R2: 0.3994), PNorm: 187.1871, GNorm: 0.5000
[6/299] timecost: 59.67, lr: 0.000100, Train: (LOSS: 0.1309, MAE: 0.1309, RMSE: 0.1782, R2: 0.5274), Valid: (LOSS: 0.1280, MAE: 0.1280, RMSE: 0.1798, R2: 0.5327), PNorm: 187.2128, GNorm: 0.3774
[7/299] timecost: 59.42, lr: 0.000100, Train: (LOSS: 0.1254, MAE: 0.1254, RMSE: 0.1713, R2: 0.5564), Valid: (LOSS: 0.1234, MAE: 0.1234, RMSE: 0.1667, R2: 0.6067), PNorm: 187.2403, GNorm: 0.5000
[8/299] timecost: 59.80, lr: 0.000100, Train: (LOSS: 0.1202, MAE: 0.1202, RMSE: 0.1665, R2: 0.5923), Valid: (LOSS: 0.1235, MAE: 0.1235, RMSE: 0.1664, R2: 0.6049), PNorm: 187.2643, GNorm: 0.5000
[9/299] timecost: 59.77, lr: 0.000100, Train: (LOSS: 0.1211, MAE: 0.1211, RMSE: 0.1674, R2: 0.5768), Valid: (LOSS: 0.1335, MAE: 0.1335, RMSE: 0.1873, R2: 0.4850), PNorm: 187.2907, GNorm: 0.5000
[10/299] timecost: 60.65, lr: 0.000100, Train: (LOSS: 0.1188, MAE: 0.1188, RMSE: 0.1669, R2: 0.5840), Valid: (LOSS: 0.1279, MAE: 0.1279, RMSE: 0.1736, R2: 0.5821), PNorm: 187.3144, GNorm: 0.5000
[11/299] timecost: 60.16, lr: 0.000100, Train: (LOSS: 0.1170, MAE: 0.1170, RMSE: 0.1626, R2: 0.5953), Valid: (LOSS: 0.1266, MAE: 0.1266, RMSE: 0.1691, R2: 0.5936), PNorm: 187.3429, GNorm: 0.4648
[12/299] timecost: 59.45, lr: 0.000100, Train: (LOSS: 0.1103, MAE: 0.1103, RMSE: 0.1558, R2: 0.6258), Valid: (LOSS: 0.1085, MAE: 0.1085, RMSE: 0.1526, R2: 0.6789), PNorm: 187.3751, GNorm: 0.5000
[13/299] timecost: 58.31, lr: 0.000100, Train: (LOSS: 0.0999, MAE: 0.0999, RMSE: 0.1432, R2: 0.6940), Valid: (LOSS: 0.0982, MAE: 0.0982, RMSE: 0.1337, R2: 0.7487), PNorm: 187.4056, GNorm: 0.5000
[14/299] timecost: 59.28, lr: 0.000100, Train: (LOSS: 0.0952, MAE: 0.0952, RMSE: 0.1387, R2: 0.7084), Valid: (LOSS: 0.0996, MAE: 0.0996, RMSE: 0.1367, R2: 0.7415), PNorm: 187.4287, GNorm: 0.5000
[15/299] timecost: 62.47, lr: 0.000100, Train: (LOSS: 0.0930, MAE: 0.0930, RMSE: 0.1354, R2: 0.7167), Valid: (LOSS: 0.0910, MAE: 0.0910, RMSE: 0.1243, R2: 0.7842), PNorm: 187.4484, GNorm: 0.5000
[16/299] timecost: 62.32, lr: 0.000100, Train: (LOSS: 0.0909, MAE: 0.0909, RMSE: 0.1331, R2: 0.7338), Valid: (LOSS: 0.0886, MAE: 0.0886, RMSE: 0.1199, R2: 0.7980), PNorm: 187.4639, GNorm: 0.5000
[17/299] timecost: 62.41, lr: 0.000100, Train: (LOSS: 0.0889, MAE: 0.0889, RMSE: 0.1303, R2: 0.7413), Valid: (LOSS: 0.0881, MAE: 0.0881, RMSE: 0.1220, R2: 0.7869), PNorm: 187.4834, GNorm: 0.5000
[18/299] timecost: 62.47, lr: 0.000100, Train: (LOSS: 0.0897, MAE: 0.0897, RMSE: 0.1322, R2: 0.7339), Valid: (LOSS: 0.0869, MAE: 0.0869, RMSE: 0.1169, R2: 0.8097), PNorm: 187.5059, GNorm: 0.5000
[19/299] timecost: 62.53, lr: 0.000100, Train: (LOSS: 0.0836, MAE: 0.0836, RMSE: 0.1239, R2: 0.7590), Valid: (LOSS: 0.0863, MAE: 0.0863, RMSE: 0.1221, R2: 0.7893), PNorm: 187.5270, GNorm: 0.5000
[20/299] timecost: 62.52, lr: 0.000100, Train: (LOSS: 0.0809, MAE: 0.0809, RMSE: 0.1199, R2: 0.7756), Valid: (LOSS: 0.0794, MAE: 0.0794, RMSE: 0.1139, R2: 0.8177), PNorm: 187.5480, GNorm: 0.5000
[21/299] timecost: 62.57, lr: 0.000100, Train: (LOSS: 0.0812, MAE: 0.0812, RMSE: 0.1219, R2: 0.7701), Valid: (LOSS: 0.0856, MAE: 0.0856, RMSE: 0.1175, R2: 0.8029), PNorm: 187.5678, GNorm: 0.5000
[22/299] timecost: 60.28, lr: 0.000100, Train: (LOSS: 0.0799, MAE: 0.0799, RMSE: 0.1184, R2: 0.7845), Valid: (LOSS: 0.0744, MAE: 0.0744, RMSE: 0.0998, R2: 0.8513), PNorm: 187.5878, GNorm: 0.5000
[23/299] timecost: 58.60, lr: 0.000100, Train: (LOSS: 0.0759, MAE: 0.0759, RMSE: 0.1165, R2: 0.7888), Valid: (LOSS: 0.0717, MAE: 0.0717, RMSE: 0.0960, R2: 0.8667), PNorm: 187.6099, GNorm: 0.5000
[24/299] timecost: 58.90, lr: 0.000100, Train: (LOSS: 0.0712, MAE: 0.0712, RMSE: 0.1079, R2: 0.8178), Valid: (LOSS: 0.0651, MAE: 0.0651, RMSE: 0.0892, R2: 0.8837), PNorm: 187.6315, GNorm: 0.5000
[25/299] timecost: 59.59, lr: 0.000100, Train: (LOSS: 0.0676, MAE: 0.0676, RMSE: 0.1018, R2: 0.8315), Valid: (LOSS: 0.0727, MAE: 0.0727, RMSE: 0.1023, R2: 0.8411), PNorm: 187.6508, GNorm: 0.5000
[26/299] timecost: 59.73, lr: 0.000100, Train: (LOSS: 0.0644, MAE: 0.0644, RMSE: 0.0985, R2: 0.8430), Valid: (LOSS: 0.0663, MAE: 0.0663, RMSE: 0.0928, R2: 0.8701), PNorm: 187.6681, GNorm: 0.5000
[27/299] timecost: 59.53, lr: 0.000100, Train: (LOSS: 0.0627, MAE: 0.0627, RMSE: 0.0975, R2: 0.8509), Valid: (LOSS: 0.0606, MAE: 0.0606, RMSE: 0.0875, R2: 0.8889), PNorm: 187.6863, GNorm: 0.5000
[28/299] timecost: 60.41, lr: 0.000100, Train: (LOSS: 0.0592, MAE: 0.0592, RMSE: 0.0910, R2: 0.8677), Valid: (LOSS: 0.0609, MAE: 0.0609, RMSE: 0.0845, R2: 0.8946), PNorm: 187.7074, GNorm: 0.5000
[29/299] timecost: 60.77, lr: 0.000100, Train: (LOSS: 0.0583, MAE: 0.0583, RMSE: 0.0898, R2: 0.8727), Valid: (LOSS: 0.0638, MAE: 0.0638, RMSE: 0.0861, R2: 0.8845), PNorm: 187.7246, GNorm: 0.5000
[30/299] timecost: 60.35, lr: 0.000100, Train: (LOSS: 0.0560, MAE: 0.0560, RMSE: 0.0853, R2: 0.8824), Valid: (LOSS: 0.0547, MAE: 0.0547, RMSE: 0.0775, R2: 0.9088), PNorm: 187.7441, GNorm: 0.5000
[31/299] timecost: 59.91, lr: 0.000100, Train: (LOSS: 0.0516, MAE: 0.0516, RMSE: 0.0797, R2: 0.8994), Valid: (LOSS: 0.0548, MAE: 0.0548, RMSE: 0.0756, R2: 0.9163), PNorm: 187.7594, GNorm: 0.5000
[32/299] timecost: 60.83, lr: 0.000100, Train: (LOSS: 0.0513, MAE: 0.0513, RMSE: 0.0796, R2: 0.9009), Valid: (LOSS: 0.0571, MAE: 0.0571, RMSE: 0.0793, R2: 0.9090), PNorm: 187.7759, GNorm: 0.5000
[33/299] timecost: 60.61, lr: 0.000100, Train: (LOSS: 0.0495, MAE: 0.0495, RMSE: 0.0769, R2: 0.9063), Valid: (LOSS: 0.0547, MAE: 0.0547, RMSE: 0.0793, R2: 0.9067), PNorm: 187.7933, GNorm: 0.5000
[34/299] timecost: 60.58, lr: 0.000100, Train: (LOSS: 0.0470, MAE: 0.0470, RMSE: 0.0729, R2: 0.9159), Valid: (LOSS: 0.0458, MAE: 0.0458, RMSE: 0.0647, R2: 0.9383), PNorm: 187.8108, GNorm: 0.5000
