cuda available with GPU: Tesla V100-PCIE-16GB
==========Load Seed==========
set_random_seed
0
==========Training Start==========
Training Graphs:  2491
Valid Graphs:  277
Test Graphs:  1187
============Loading pretrained weights to generate initialization============
============Creating new layers============
============Creating Model============
Training Graphs Batches:  78
Valid Graphs Batches:  9
Test Graphs Batches:  37
[0/299] timecost: 64.35, lr: 0.000030, Train: (LOSS: 0.2376, MAE: 0.2376, RMSE: 0.2834, R2: -0.1522), Valid: (LOSS: 0.3047, MAE: 0.3047, RMSE: 0.3802, R2: -1.1000), PNorm: 174.3936, GNorm: 1.5220
[1/299] timecost: 63.75, lr: 0.000030, Train: (LOSS: 0.2321, MAE: 0.2321, RMSE: 0.2805, R2: -0.1171), Valid: (LOSS: 0.2101, MAE: 0.2101, RMSE: 0.2494, R2: 0.0996), PNorm: 173.8859, GNorm: 0.1869
[2/299] timecost: 63.53, lr: 0.000030, Train: (LOSS: 0.2150, MAE: 0.2150, RMSE: 0.2593, R2: 0.0423), Valid: (LOSS: 0.2155, MAE: 0.2155, RMSE: 0.2669, R2: -0.0388), PNorm: 173.3831, GNorm: 1.8847
[3/299] timecost: 63.74, lr: 0.000030, Train: (LOSS: 0.2001, MAE: 0.2001, RMSE: 0.2439, R2: 0.1448), Valid: (LOSS: 0.2295, MAE: 0.2295, RMSE: 0.2641, R2: -0.0111), PNorm: 172.9203, GNorm: 2.2966
[4/299] timecost: 63.82, lr: 0.000030, Train: (LOSS: 0.1866, MAE: 0.1866, RMSE: 0.2322, R2: 0.2201), Valid: (LOSS: 0.1632, MAE: 0.1632, RMSE: 0.2037, R2: 0.3913), PNorm: 172.5073, GNorm: 2.0050
[5/299] timecost: 63.49, lr: 0.000030, Train: (LOSS: 0.1597, MAE: 0.1597, RMSE: 0.2068, R2: 0.3737), Valid: (LOSS: 0.1395, MAE: 0.1395, RMSE: 0.1825, R2: 0.5017), PNorm: 172.1338, GNorm: 3.0750
[6/299] timecost: 63.80, lr: 0.000030, Train: (LOSS: 0.1386, MAE: 0.1386, RMSE: 0.1859, R2: 0.4817), Valid: (LOSS: 0.1352, MAE: 0.1352, RMSE: 0.1767, R2: 0.5347), PNorm: 171.7687, GNorm: 2.2817
[7/299] timecost: 64.43, lr: 0.000030, Train: (LOSS: 0.1342, MAE: 0.1342, RMSE: 0.1815, R2: 0.5223), Valid: (LOSS: 0.1388, MAE: 0.1388, RMSE: 0.1799, R2: 0.5188), PNorm: 171.4123, GNorm: 0.9893
[8/299] timecost: 64.42, lr: 0.000030, Train: (LOSS: 0.1437, MAE: 0.1437, RMSE: 0.1931, R2: 0.4482), Valid: (LOSS: 0.1423, MAE: 0.1423, RMSE: 0.1866, R2: 0.4877), PNorm: 171.0665, GNorm: 3.4868
[9/299] timecost: 64.47, lr: 0.000030, Train: (LOSS: 0.1276, MAE: 0.1276, RMSE: 0.1753, R2: 0.5521), Valid: (LOSS: 0.1419, MAE: 0.1419, RMSE: 0.1899, R2: 0.4620), PNorm: 170.7244, GNorm: 4.9550
[10/299] timecost: 64.15, lr: 0.000030, Train: (LOSS: 0.1244, MAE: 0.1244, RMSE: 0.1733, R2: 0.5604), Valid: (LOSS: 0.1384, MAE: 0.1384, RMSE: 0.1868, R2: 0.4753), PNorm: 170.3877, GNorm: 1.4573
[11/299] timecost: 66.15, lr: 0.000030, Train: (LOSS: 0.1213, MAE: 0.1213, RMSE: 0.1699, R2: 0.5730), Valid: (LOSS: 0.1304, MAE: 0.1304, RMSE: 0.1810, R2: 0.5106), PNorm: 170.0576, GNorm: 6.5913
[12/299] timecost: 67.14, lr: 0.000030, Train: (LOSS: 0.1219, MAE: 0.1219, RMSE: 0.1699, R2: 0.5749), Valid: (LOSS: 0.1331, MAE: 0.1331, RMSE: 0.1850, R2: 0.4860), PNorm: 169.7363, GNorm: 1.9042
[13/299] timecost: 66.83, lr: 0.000030, Train: (LOSS: 0.1183, MAE: 0.1183, RMSE: 0.1662, R2: 0.5898), Valid: (LOSS: 0.1274, MAE: 0.1274, RMSE: 0.1762, R2: 0.5367), PNorm: 169.4231, GNorm: 4.2320
[14/299] timecost: 66.65, lr: 0.000030, Train: (LOSS: 0.1206, MAE: 0.1206, RMSE: 0.1697, R2: 0.5664), Valid: (LOSS: 0.1251, MAE: 0.1251, RMSE: 0.1738, R2: 0.5456), PNorm: 169.1172, GNorm: 2.5276
[15/299] timecost: 66.42, lr: 0.000030, Train: (LOSS: 0.1111, MAE: 0.1111, RMSE: 0.1609, R2: 0.6174), Valid: (LOSS: 0.1197, MAE: 0.1197, RMSE: 0.1673, R2: 0.5789), PNorm: 168.8162, GNorm: 0.8301
[16/299] timecost: 66.82, lr: 0.000030, Train: (LOSS: 0.1087, MAE: 0.1087, RMSE: 0.1575, R2: 0.6331), Valid: (LOSS: 0.1262, MAE: 0.1262, RMSE: 0.1771, R2: 0.5324), PNorm: 168.5209, GNorm: 2.9582
[17/299] timecost: 67.56, lr: 0.000030, Train: (LOSS: 0.1051, MAE: 0.1051, RMSE: 0.1524, R2: 0.6483), Valid: (LOSS: 0.1209, MAE: 0.1209, RMSE: 0.1720, R2: 0.5562), PNorm: 168.2315, GNorm: 1.8752
[18/299] timecost: 67.74, lr: 0.000030, Train: (LOSS: 0.1037, MAE: 0.1037, RMSE: 0.1490, R2: 0.6630), Valid: (LOSS: 0.1222, MAE: 0.1222, RMSE: 0.1726, R2: 0.5557), PNorm: 167.9482, GNorm: 2.2468
